Risc_1,Signal_1,Risc_2,Signal_2,Risc_3,Signal_3,Risc_4,Signal_4,Risc_5,Signal_5,Risc_6,Signal_6,Risc_7,Signal_7,Risc_8,Signal_8,Rh,Data,no2,o3,co
122.929295774648,13737659.3633803,124.645492957747,447080.601408451,129.281126760563,69246636.9239437,128.247746478874,61828162.8619718,129.794507042253,125899860.225352,127.02338028169,140250324.259155,138.114647887324,111609060.664789,105.652816901408,69742982.0338028,19.1930985915493,16-Oct-2019 05,22,16,0.5
122.891690140846,6660753.77746479,124.632676056338,237106.607042254,129.294507042254,57987262.9690141,128.264788732395,50251341.3126761,129.815633802817,53247268.5070423,127.038873239436,61498565.7802817,138.120845070423,108288130.861972,105.653098591549,68925435.9098592,19.0023943661972,16-Oct-2019 06,29,12,0.6
122.872573839663,4806803.29676512,124.606329113924,196698.957805907,129.303656821378,49761244.3825598,128.277355836849,43187171.9831224,129.813080168776,37797209.7355837,127.036708860759,45777291.673699,138.118143459916,114187327.932489,105.657805907173,72693410.04782,18.5392405063291,16-Oct-2019 07,46,5,0.7
122.855492957747,3354965.32957746,124.603802816902,157108.742253521,129.314084507042,36936092.1352113,128.273098591549,31456876.1211268,129.823943661972,18344348.4112676,127.039154929577,26532794.3746479,138.114084507043,108756740.371831,105.651971830986,69867868.484507,18.0633802816901,16-Oct-2019 08,62,9,0.7
122.903375527426,3210051.34317862,124.651336146273,173094.548523207,129.348945147679,37476548.0815752,128.309142053446,33065378.790436,129.864135021098,24860987.2883263,127.080028129395,33805316.4444444,138.144585091421,106117966.030942,105.689451476793,67397746.1772152,16.6655414908579,16-Oct-2019 09,44,25,0.5
122.971971830986,8581513.48873239,124.720704225352,445748.83943662,129.357323943662,53990252.0169014,128.317746478873,49792747.3352113,129.885915492958,116769637.247887,127.107605633803,127870876.704225,138.194225352113,115564039.808451,105.705915492957,71101475.3859155,16.29,16-Oct-2019 10,28,45,0.5
123.051054852321,29905997.7074543,124.795358649789,3272884.60900141,129.361322081575,85824266.464135,128.324331926863,79785143.1561181,129.898874824191,342391188.703235,127.130098452883,346410686.559775,138.238677918425,130179719.257384,105.720253164557,77170640.3037975,15.696905766526,16-Oct-2019 11,26,46,0.5
123.043943661972,35943264.4169014,124.791690140845,5372142.6915493,129.357464788732,100297208.338028,128.327605633803,91617317.6676056,129.897183098592,391652415.211268,127.121408450704,393349273.802817,138.242394366197,133912214.614085,105.724507042253,78300833.0028169,15.7243661971831,16-Oct-2019 12,19,53,0.5
122.97088607595,46670970.4078762,124.717440225035,56142214.230661,129.256540084389,121785070.52602,128.221800281294,114026296.19128,129.823206751055,483563853.907173,127.038959212376,482060387.240506,138.176933895922,143697944.798875,105.684810126582,82122801.0014065,16.7070323488045,16-Oct-2019 13,15,61,0.4
122.911126760564,56397880.5746479,124.679718309859,131072000,129.234225352113,152546204.056338,128.200704225352,145006777.002817,129.797042253521,499000000,127.006478873239,499000000,138.132957746479,152693719.166197,105.675915492958,85269222.7380282,17.2884507042253,16-Oct-2019 14,17,61,0.4
122.891279887482,59698287.1448664,124.631786216597,131072000,129.162165963432,170898418.362869,128.150351617441,165400012.264416,129.744022503516,499000000,126.951758087201,499000000,138.106188466949,155205183.639944,105.629535864979,85909061.1758087,17.9736990154712,16-Oct-2019 15,15,66,0.5
122.857946554148,61971922.6779184,124.634599156118,131072000,129.176371308017,193925543.336146,128.162025316456,193251182.897328,129.754571026723,499000000,126.949929676512,498991415.178622,138.081856540084,161133309.074543,105.664556962025,87752185.721519,18.2223628691983,16-Oct-2019 16,24,52,0.5
